0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:13:59 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:05 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:13 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:13 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:13 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:13 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9543
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:15 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:18 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:18 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:29 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:30 -0300] "PUT /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:29 -0300] "POST /TCC-GamificationJava/usuario/igmarcelo?exercicioId=58 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:32 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:33 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:33 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:33 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/programador.png HTTP/1.1" 200 4981
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:33 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:55 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:57 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:14:57 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:07 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:07 -0300] "PUT /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:07 -0300] "POST /TCC-GamificationJava/usuario/igmarcelo?exercicioId=58 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:09 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:11 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:11 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:11 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:11 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/ninja.png HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:15 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:18 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:18 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:23 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:27 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:37 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:37 -0300] "PUT /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:37 -0300] "POST /TCC-GamificationJava/usuario/igmarcelo?exercicioId=58 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:40 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:41 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:41 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5995
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:42 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/experiente.png HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:42 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9554
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:45 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:47 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:47 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:56 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:56 -0300] "PUT /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:56 -0300] "POST /TCC-GamificationJava/usuario/igmarcelo?exercicioId=58 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:15:58 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:16:00 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:16:00 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:16:00 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/javaman.png HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:16:00 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9548
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:16:32 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:17:40 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:17:40 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:17:40 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:17:44 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:17:44 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 11898
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:28 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:42 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:42 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:42 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:42 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9548
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:44 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:46 -0300] "GET /TCC-GamificationJava/modulo/assunto/5/exercicio HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:46 -0300] "GET /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:25:59 -0300] "POST /TCC-GamificationJava/modulo/java/assunto/exercicio/58 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:28:22 -0300] "PUT /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:28:22 -0300] "POST /TCC-GamificationJava/usuario/igmarcelo?exercicioId=58 HTTP/1.1" 500 5102
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:28:24 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:17 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 11902
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:18 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:36 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:36 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:51:36 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 9548
