127.0.0.1 - - [09/Oct/2014:20:25:55 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:25:58 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 6947
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:25 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 200 41145
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:25 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 185639
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:25 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 136237
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 200 82324
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:25 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 200 612482
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:24 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:25 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:26 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:29 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:29 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:29 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:39 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:39 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:39 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:39 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:40 -0300] "GET /TCC-GamificationJava/usuario/teste1 HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:40 -0300] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:26:39 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/javaman.png HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/progresso/nivel/49 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/ninja.png HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/conhecendo_java/primeiro_programa.png HTTP/1.1" 200 13668
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/diagrama_de_caso_de_uso/primeiro_diagrama.png HTTP/1.1" 200 13308
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:05 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "GET /TCC-GamificationJava/usuario/teste3 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "GET /TCC-GamificationJava/progresso/nivel/49 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:45 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:49 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:54 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:54 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:55 -0300] "GET /TCC-GamificationJava/usuario/teste3 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:55 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:55 -0300] "GET /TCC-GamificationJava/progresso/nivel/49 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:56 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:56 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:27:58 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:02 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "GET /TCC-GamificationJava/progresso/nivel/49 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:06 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:08 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:17 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:44 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:28:50 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:38:06 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2014:20:38:06 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
