127.0.0.1 - - [08/Jul/2014:19:27:50 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:27:55 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 102445
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 200 612482
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:07 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:14 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:14 -0300] "GET /TCC-GamificationJava_Work/usuario HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 102445
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 200 612482
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:24 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:26 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:26 -0300] "GET /TCC-GamificationJava_Work/usuario HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:29 -0300] "GET /TCC-GamificationJava/resources/html/exercicios.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:29 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/theme-eclipse.js HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:29 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/mode-java.js HTTP/1.1" 200 44936
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:32 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:36 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:36 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:36 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:44 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:45 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:47 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:47 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:28:51 -0300] "POST /TCC-GamificationJava_Work/codigo00 HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:31:54 -0300] "GET /TCC-GamificationJava_Work/usuario HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:32:00 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2014:19:32:00 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
