127.0.0.1 - - [13/Oct/2014:22:56:16 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:08 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:11 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:12 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:16 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:16 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:16 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:16 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:16 -0300] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:21 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:13 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:14 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:14 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:17 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:18 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:18 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:22 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:22 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:22 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:22 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:22 -0300] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:24 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:06:27 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:08 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:08 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:22 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:28 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:28 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:28 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:28 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:28 -0300] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:52:30 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
