127.0.0.1 - - [01/Sep/2014:19:36:33 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:36:36 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/appTeste.js HTTP/1.1" 200 7563
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 102445
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/js/controllers.js HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:24 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 200 612482
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:25 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:32 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:32 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:47:32 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:48:33 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2014:19:48:33 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
