127.0.0.1 - - [27/Oct/2014:19:01:01 -0200] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:01:03 -0200] "GET /TCC-GamificationJava/ HTTP/1.1" 500 9367
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:03:54 -0200] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/js/ng-breadcrumbs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:01 -0200] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:04:02 -0200] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/ng-breadcrumbs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:21:57 -0200] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/usuario/teste1 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/usuario/teste1 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:02 -0200] "GET /TCC-GamificationJava/progresso/nivel/47 HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:09 -0200] "GET /TCC-GamificationJava/progresso/nivel/47 HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:12 -0200] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:12 -0200] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:12 -0200] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:12 -0200] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [27/Oct/2014:19:22:12 -0200] "GET /TCC-GamificationJava/progresso/nivel/47 HTTP/1.1" 200 93
