127.0.0.1 - - [11/Sep/2014:23:03:51 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:03:53 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:03 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:03 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:03 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:03 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:03 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:04 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:05 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:05 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:05 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:12 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:12 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:12 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:13 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:16 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:16 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:20 -0300] "GET /TCC-GamificationJava/modulo/assunto/29/exercicio HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [11/Sep/2014:23:04:20 -0300] "GET /TCC-GamificationJava/resources/html/uml/exercicios.html HTTP/1.1" 304 -
