127.0.0.1 - - [03/Sep/2014:21:53:26 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [03/Sep/2014:21:54:43 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:52 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 102445
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [03/Sep/2014:22:46:53 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 200 1000
