127.0.0.1 - - [20/Oct/2014:18:41:11 -0200] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:14 -0200] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:38 -0200] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:39 -0200] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:39 -0200] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:39 -0200] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/ng-breadcrumbs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:40 -0200] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:42 -0200] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:43 -0200] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:43 -0200] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:58 -0200] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:58 -0200] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:41:59 -0200] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:00 -0200] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:00 -0200] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:00 -0200] "GET /TCC-GamificationJava/resources/imagens/nivel/javaman.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:00 -0200] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:00 -0200] "GET /TCC-GamificationJava/resources/imagens/badge/diagrama_de_caso_de_uso/primeiro_diagrama.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:01 -0200] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:03 -0200] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:03 -0200] "GET /TCC-GamificationJava/resources/imagens/badge/conhecendo_java/primeiro_programa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/modulo/assunto/29/exercicio HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources/html/uml/exercicios.html HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources// HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/modulo/uml/assunto/exercicio/57 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources/imagens/exercicios/uml/diagrama_de_caso_de_uso/exercicio1/alternativaB.png HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources/imagens/exercicios/uml/diagrama_de_caso_de_uso/exercicio1/alternativaC.png HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources/imagens/exercicios/uml/diagrama_de_caso_de_uso/exercicio1/alternativaA.png HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [20/Oct/2014:18:42:09 -0200] "GET /TCC-GamificationJava/resources/imagens/exercicios/uml/diagrama_de_caso_de_uso/exercicio1/alternativaD.png HTTP/1.1" 200 6543
