127.0.0.1 - - [13/Sep/2014:16:43:00 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:03 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:40 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:42 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:43 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:43 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:43:47 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/badge2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/badge1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/badge3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/badge4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:55:41 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/novato.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:26 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:26 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:26 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:51 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:16:56:54 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Sep/2014:17:29:30 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2014:17:29:30 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6398
