127.0.0.1 - - [06/Sep/2014:23:33:13 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:15 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:29 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:29 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:29 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2014:23:33:30 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 3559
