127.0.0.1 - - [21/Sep/2014:11:00:24 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:27 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:57 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:57 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 9469
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:58 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:59 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:59 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:00:59 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:06 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:06 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:06 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/usuario/igmarcelo HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/novato.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:20 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/conhecendo_java/primeiro_programa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:37 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:37 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [21/Sep/2014:11:01:40 -0300] "GET /TCC-GamificationJava/modulo/assunto/29/exercicio HTTP/1.1" 200 335
